algorithm_id,metric_bin_rank,metric_value,success_rate,sample_count,metric,metric_label,algorithm_label
grid_dijkstra,3,0.9290337031902822,0.907785336356765,5292,scene_metric_cell_density_cv,cell density CV,Grid Dijkstra
grid_dijkstra,4,1.1980270598190472,0.9750566893424036,5292,scene_metric_cell_density_cv,cell density CV,Grid Dijkstra
grid_dijkstra,5,1.3787015804850813,0.9939531368102796,5292,scene_metric_cell_density_cv,cell density CV,Grid Dijkstra
grid_dijkstra,6,1.5769878902949601,0.9803476946334089,5292,scene_metric_cell_density_cv,cell density CV,Grid Dijkstra
grid_dijkstra,7,1.7717176129704613,0.9922524565381708,5292,scene_metric_cell_density_cv,cell density CV,Grid Dijkstra
grid_dijkstra,8,2.110982830607245,0.9998110355253212,5292,scene_metric_cell_density_cv,cell density CV,Grid Dijkstra
rrt,1,0.5802941962414075,0.7972794256565275,5293,scene_metric_cell_density_cv,cell density CV,RRT
rrt,2,0.6984193171564638,0.8047996976568406,5292,scene_metric_cell_density_cv,cell density CV,RRT
rrt,3,0.9290337031902822,0.871504157218443,5292,scene_metric_cell_density_cv,cell density CV,RRT
rrt,4,1.1980270598190472,0.9737339380196524,5292,scene_metric_cell_density_cv,cell density CV,RRT
rrt,5,1.3787015804850813,0.9958427815570673,5292,scene_metric_cell_density_cv,cell density CV,RRT
rrt,6,1.5769878902949601,0.9801587301587301,5292,scene_metric_cell_density_cv,cell density CV,RRT
rrt,7,1.7717176129704613,0.9914965986394558,5292,scene_metric_cell_density_cv,cell density CV,RRT
rrt,8,2.110982830607245,0.9988662131519275,5292,scene_metric_cell_density_cv,cell density CV,RRT
visibility_astar,1,0.5802941962414075,0.939164934819573,5293,scene_metric_cell_density_cv,cell density CV,Visibility A*
visibility_astar,2,0.6984193171564638,0.9404761904761905,5292,scene_metric_cell_density_cv,cell density CV,Visibility A*
visibility_astar,3,0.9290337031902822,0.9393424036281179,5292,scene_metric_cell_density_cv,cell density CV,Visibility A*
visibility_astar,4,1.1980270598190472,0.9822373393801965,5292,scene_metric_cell_density_cv,cell density CV,Visibility A*
visibility_astar,5,1.3787015804850813,0.99848828420257,5292,scene_metric_cell_density_cv,cell density CV,Visibility A*
visibility_astar,6,1.5769878902949601,0.9920634920634921,5292,scene_metric_cell_density_cv,cell density CV,Visibility A*
visibility_astar,7,1.7717176129704613,0.9964096749811036,5292,scene_metric_cell_density_cv,cell density CV,Visibility A*
visibility_astar,8,2.110982830607245,1.0,5292,scene_metric_cell_density_cv,cell density CV,Visibility A*
visibility_dijkstra,1,0.5802941962414075,0.939164934819573,5293,scene_metric_cell_density_cv,cell density CV,Visibility Dijkstra
visibility_dijkstra,2,0.6984193171564638,0.9404761904761905,5292,scene_metric_cell_density_cv,cell density CV,Visibility Dijkstra
visibility_dijkstra,3,0.9290337031902822,0.9393424036281179,5292,scene_metric_cell_density_cv,cell density CV,Visibility Dijkstra
visibility_dijkstra,4,1.1980270598190472,0.9822373393801965,5292,scene_metric_cell_density_cv,cell density CV,Visibility Dijkstra
visibility_dijkstra,5,1.3787015804850813,0.99848828420257,5292,scene_metric_cell_density_cv,cell density CV,Visibility Dijkstra
visibility_dijkstra,6,1.5769878902949601,0.9920634920634921,5292,scene_metric_cell_density_cv,cell density CV,Visibility Dijkstra
visibility_dijkstra,7,1.7717176129704613,0.9964096749811036,5292,scene_metric_cell_density_cv,cell density CV,Visibility Dijkstra
visibility_dijkstra,8,2.110982830607245,1.0,5292,scene_metric_cell_density_cv,cell density CV,Visibility Dijkstra
grid_astar,1,0.6012681350317837,0.7645731477999248,5318,scene_metric_clearance,clearance,Grid A*
grid_astar,2,0.9642857142857144,0.9113347256502753,5267,scene_metric_clearance,clearance,Grid A*
grid_astar,3,1.39212353582346,0.9747139165743817,5418,scene_metric_clearance,clearance,Grid A*
grid_astar,4,1.7678571428571428,0.9942652329749104,5580,scene_metric_clearance,clearance,Grid A*
grid_astar,5,2.109160080755272,0.9872132380594209,5318,scene_metric_clearance,clearance,Grid A*
grid_astar,6,2.565561254618426,0.9878400659521847,4852,scene_metric_clearance,clearance,Grid A*
grid_astar,7,4.285714285714221,0.9975434618291761,5292,scene_metric_clearance,clearance,Grid A*
grid_astar,8,6.428571428571445,1.0,5292,scene_metric_clearance,clearance,Grid A*
grid_dijkstra,1,0.6012681350317837,0.7645731477999248,5318,scene_metric_clearance,clearance,Grid Dijkstra
grid_dijkstra,2,0.9642857142857144,0.9113347256502753,5267,scene_metric_clearance,clearance,Grid Dijkstra
grid_dijkstra,3,1.39212353582346,0.9747139165743817,5418,scene_metric_clearance,clearance,Grid Dijkstra
grid_dijkstra,4,1.7678571428571428,0.9942652329749104,5580,scene_metric_clearance,clearance,Grid Dijkstra
grid_dijkstra,5,2.109160080755272,0.9872132380594209,5318,scene_metric_clearance,clearance,Grid Dijkstra
grid_dijkstra,6,2.565561254618426,0.9878400659521847,4852,scene_metric_clearance,clearance,Grid Dijkstra
grid_dijkstra,7,4.285714285714221,0.9975434618291761,5292,scene_metric_clearance,clearance,Grid Dijkstra
grid_dijkstra,8,6.428571428571445,1.0,5292,scene_metric_clearance,clearance,Grid Dijkstra
rrt,1,0.6012681350317837,0.859157578036856,5318,scene_metric_clearance,clearance,RRT
rrt,2,0.9642857142857144,0.9337383709891779,5267,scene_metric_clearance,clearance,RRT
rrt,3,1.39212353582346,0.9483204134366925,5418,scene_metric_clearance,clearance,RRT
rrt,4,1.7678571428571428,0.9888888888888889,5580,scene_metric_clearance,clearance,RRT
rrt,5,2.109160080755272,0.9843926288078225,5318,scene_metric_clearance,clearance,RRT
rrt,6,2.565561254618426,0.9760923330585326,4852,scene_metric_clearance,clearance,RRT
rrt,7,4.285714285714221,0.7316704459561603,5292,scene_metric_clearance,clearance,RRT
rrt,8,6.428571428571445,0.9916855631141346,5292,scene_metric_clearance,clearance,RRT
visibility_astar,1,0.6012681350317837,0.8728845430613013,5318,scene_metric_clearance,clearance,Visibility A*
visibility_astar,2,0.9642857142857144,0.9456996392633378,5267,scene_metric_clearance,clearance,Visibility A*
visibility_astar,3,1.39212353582346,0.9837578442229605,5418,scene_metric_clearance,clearance,Visibility A*
visibility_astar,4,1.7678571428571428,0.9983870967741936,5580,scene_metric_clearance,clearance,Visibility A*
visibility_astar,5,2.109160080755272,0.9952989845806695,5318,scene_metric_clearance,clearance,Visibility A*
visibility_astar,6,2.565561254618426,0.9942291838417148,4852,scene_metric_clearance,clearance,Visibility A*
visibility_astar,7,4.285714285714221,0.9982993197278912,5292,scene_metric_clearance,clearance,Visibility A*
visibility_astar,8,6.428571428571445,1.0,5292,scene_metric_clearance,clearance,Visibility A*
visibility_dijkstra,1,0.6012681350317837,0.8728845430613013,5318,scene_metric_clearance,clearance,Visibility Dijkstra
visibility_dijkstra,2,0.9642857142857144,0.9456996392633378,5267,scene_metric_clearance,clearance,Visibility Dijkstra
visibility_dijkstra,3,1.39212353582346,0.9837578442229605,5418,scene_metric_clearance,clearance,Visibility Dijkstra
