,precision,recall,f1-score,support
grid_astar,0.7041553748870822,0.6801919720767888,0.6919662671992899,2292.0
rrt,0.5804973821989529,0.5977088948787062,0.5889774236387783,2968.0
visibility_astar,0.7437794216543376,0.7412868632707775,0.7425310506881504,2984.0
accuracy,0.6726103833090733,0.6726103833090733,0.6726103833090733,0.6726103833090733
macro avg,0.6761440595801242,0.6730625767420908,0.6744915805087395,8244.0
weighted avg,0.6739784259854715,0.6726103833090733,0.6731907245310659,8244.0
