beta,gamma,delta,scene_rows,present_classes,majority_share,min_share,normalized_entropy,effective_class_count,balance_objective,meets_min_share_rule,count_visibility_astar,share_visibility_astar,count_grid_astar,share_grid_astar,count_rrt,share_rrt,proxy_status,proxy_accuracy,proxy_balanced_accuracy,proxy_macro_f1,proxy_majority_accuracy,proxy_majority_macro_f1,proxy_macro_f1_gain,proxy_min_class_count,proxy_is_valid,proxy_objective,proxy_objective_for_sort,proxy_macro_f1_gain_for_sort
0.3,0.6,0.8,41217,3,0.3619137734429968,0.27799209064221075,0.9935282676328581,2.978745873033446,0.9096065848320721,True,14917,0.3619137734429968,11458,0.27799209064221075,14842,0.36009413591479245,ok,0.6688015526443474,0.674311410373922,0.6679966301511969,0.361863173216885,0.1771412284452045,0.4908554017059924,11458.0,True,0.5951466255669386,0.5951466255669386,0.4908554017059924
0.45,0.75,1.25,41217,3,0.36006987408108304,0.30179294951112406,0.9976144792073348,2.9921480062263806,0.9393375546373759,True,12439,0.30179294951112406,13937,0.3381371764077929,14841,0.36006987408108304,ok,0.6618146530810286,0.6694160531061003,0.6624325756595212,0.3601164483260553,0.1765125570776256,0.4859200185818956,12439.0,True,0.5928119709908012,0.5928119709908012,0.4859200185818956
0.45,1.05,1.5,41217,3,0.34711405488026786,0.3069849819249339,0.998557324091658,2.9952489416249106,0.958428251136324,True,14257,0.34590096319479824,12653,0.3069849819249339,14307,0.34711405488026786,ok,0.6623968947113051,0.6646734472062571,0.6613857056229752,0.34711305191654535,0.17178120347692458,0.48960450214605056,12653.0,True,0.5924113279536065,0.5924113279536065,0.48960450214605056
0.3,0.75,1.0,41217,3,0.3683916830434044,0.28582866293034426,0.9949298669482342,2.983336121479219,0.912366846835174,True,15184,0.3683916830434044,11781,0.28582866293034426,14252,0.3457796540262513,ok,0.6645317806889859,0.6661600222924365,0.662899045391891,0.36836487142164,0.1794671772687516,0.48343186812313943,11781.0,True,0.5901138159171225,0.5901138159171225,0.48343186812313943
0.6,0.9,1.5,41217,3,0.36829463570856685,0.30239949535385885,0.9970154442312992,2.9901794999369784,0.9311203038765912,True,12464,0.30239949535385885,13573,0.3293058689375743,15180,0.36829463570856685,ok,0.6583212032993693,0.66662501989616,0.6597661876135025,0.3682678311499272,0.1794326241134752,0.4803335635000273,12464.0,True,0.5898577016355074,0.5898577016355074,0.4803335635000273
0.3,1.05,1.5,41217,3,0.35235461096149645,0.32030472863139,0.9992309664883956,2.9974664614069186,0.9671810841582892,True,14523,0.35235461096149645,13202,0.32030472863139,13492,0.32734066040711357,ok,0.6607472100921883,0.6592295144010082,0.6578451067671774,0.35235322658903445,0.17369881362418674,0.48414629314299074,13202.0,True,0.589697408137219,0.589697408137219,0.48414629314299074
0.45,0.9,1.25,41217,3,0.3582259747191693,0.29121479001382927,0.9962448276297619,2.987649058752635,0.9292336429244218,True,14449,0.3505592352670015,12003,0.29121479001382927,14765,0.3582259747191693,ok,0.6605531295487628,0.664505952852735,0.6604268368143816,0.35827268316351285,0.17584720535352813,0.4845796314608535,12003.0,True,0.5893559700732092,0.5893559700732092,0.4845796314608535
0.75,0.9,1.5,41217,3,0.38712181866705486,0.30266637552466213,0.99417379627869,2.9808591062682948,0.9097183531362971,True,12475,0.30266637552466213,12786,0.310211805808283,15956,0.38712181866705486,ok,0.6565744784085396,0.668244212325625,0.659293950396826,0.3870936438622028,0.18604542698568163,0.47324852341114443,12475.0,True,0.588659672994673,0.588659672994673,0.47324852341114443
0.45,0.9,1.5,41217,3,0.34966154741975397,0.3022296625178931,0.9979839986153032,2.9933629409196474,0.9505521137134423,True,12457,0.3022296625178931,14412,0.34966154741975397,14348,0.3481087900623529,ok,0.6575448811256671,0.6624871916369414,0.6574106468919052,0.34963609898107717,0.1727063560540696,0.4847042908378356,12457.0,True,0.5886204134299492,0.5886204134299492,0.4847042908378356
0.6,1.05,1.5,41217,3,0.3664022126792343,0.2945871848994347,0.9963760639572687,2.9880798426009307,0.924561036177469,True,13973,0.339010602421331,12142,0.2945871848994347,15102,0.3664022126792343,ok,0.6583212032993693,0.6637253692194912,0.6589356710809504,0.36642406598738475,0.17877518168690673,0.48016048939404365,12142.0,True,0.5879432106600526,0.5879432106600526,0.48016048939404365
