config_index,algorithm_id,median_relative_path_length,median_path_length
1,grid_astar,1.0140338138398617,89.45635304463491
1,grid_dijkstra,1.0140338138398617,89.45635304463491
1,rrt,1.0053197918656893,89.21169476116643
1,visibility_astar,1.000097128268012,87.95500051937665
1,visibility_dijkstra,1.000097128268012,87.95500051937665
2,grid_astar,1.034892573189846,104.67569963134193
2,grid_dijkstra,1.034892573189846,104.67569963134193
2,rrt,1.0265698449487872,104.35132684265372
2,visibility_astar,1.0009866508446459,101.05219383705364
2,visibility_dijkstra,1.0009866508446459,101.05219383705364
3,grid_astar,1.0303587316475564,154.73140654644874
3,grid_dijkstra,1.0303587316475564,154.73140654644874
3,rrt,1.023469772004176,154.8440790441372
3,visibility_astar,1.0015477210970771,150.3752448468215
3,visibility_dijkstra,1.0015477210970771,150.3752448468215
4,grid_astar,1.037760422131917,184.2229972584953
4,grid_dijkstra,1.0377604221319172,184.2229972584953
4,rrt,1.0327200382376174,185.31047697108397
4,visibility_astar,1.0035336798821248,178.32155366323337
4,visibility_dijkstra,1.0035336798821248,178.32155366323337
5,grid_astar,1.021459204827568,165.93140969021255
5,grid_dijkstra,1.021459204827568,165.93140969021255
5,rrt,1.0078786878604564,165.303371036031
5,visibility_astar,1.0007341621367214,163.345597200758
5,visibility_dijkstra,1.0007341621367214,163.345597200758
6,grid_astar,1.040293691181398,195.1221552246516
6,grid_dijkstra,1.040293691181398,195.1221552246516
6,rrt,1.028882344454056,194.47362453392768
6,visibility_astar,1.0050547491593216,188.5186149470577
6,visibility_dijkstra,1.0050547491593216,188.5186149470577
7,grid_astar,1.033220942488668,231.1760510376951
7,grid_dijkstra,1.033220942488668,231.1760510376951
7,rrt,1.0364427228217514,233.66787519212176
7,visibility_astar,1.0023220332922598,224.0728719981613
7,visibility_dijkstra,1.0023220332922598,224.0728719981613
8,grid_astar,1.0567528655803988,263.6884854590885
8,grid_dijkstra,1.0567528655803988,263.6884854590885
