config_index,algorithm_id,success_rate,executed_runs
41,rrt,1.0,800
41,visibility_astar,1.0,800
41,visibility_dijkstra,1.0,800
42,grid_astar,0.99875,800
42,grid_dijkstra,0.99875,800
42,rrt,0.995,800
42,visibility_astar,1.0,800
42,visibility_dijkstra,1.0,800
43,grid_astar,0.99875,800
43,grid_dijkstra,0.99875,800
43,rrt,0.825,800
43,visibility_astar,0.99875,800
43,visibility_dijkstra,0.99875,800
44,grid_astar,1.0,800
44,grid_dijkstra,1.0,800
44,rrt,0.9075,800
44,visibility_astar,1.0,800
44,visibility_dijkstra,1.0,800
45,grid_astar,1.0,800
45,grid_dijkstra,1.0,800
45,rrt,0.9975,800
45,visibility_astar,1.0,800
45,visibility_dijkstra,1.0,800
46,grid_astar,0.99125,800
46,grid_dijkstra,0.99125,800
46,rrt,0.96625,800
46,visibility_astar,0.99625,800
46,visibility_dijkstra,0.99625,800
47,grid_astar,0.97875,800
47,grid_dijkstra,0.97875,800
47,rrt,0.94625,800
47,visibility_astar,0.9975,800
47,visibility_dijkstra,0.9975,800
48,grid_astar,1.0,800
48,grid_dijkstra,1.0,800
48,rrt,0.99875,800
48,visibility_astar,1.0,800
48,visibility_dijkstra,1.0,800
49,grid_astar,0.6382978723404256,799
49,grid_dijkstra,0.6382978723404256,799
49,rrt,0.8360450563204005,799
49,visibility_astar,0.8473091364205256,799
49,visibility_dijkstra,0.8473091364205256,799
50,grid_astar,1.0,800
50,grid_dijkstra,1.0,800
50,rrt,0.99875,800
50,visibility_astar,1.0,800
50,visibility_dijkstra,1.0,800
51,grid_astar,1.0,800
51,grid_dijkstra,1.0,800
51,rrt,0.95125,800
51,visibility_astar,1.0,800
51,visibility_dijkstra,1.0,800
52,grid_astar,0.99875,800
52,grid_dijkstra,0.99875,800
52,rrt,0.405,800
52,visibility_astar,0.99875,800
52,visibility_dijkstra,0.99875,800
53,grid_astar,1.0,800
53,grid_dijkstra,1.0,800
53,rrt,0.76375,800
53,visibility_astar,1.0,800
53,visibility_dijkstra,1.0,800
