algorithm_id,total_slots,Success,NoPath,NotRun,Failed,executed_runs,success_rate_executed,no_path_rate_executed,median_runtime_all_ms,median_runtime_success_ms,p90_runtime_success_ms,mean_runtime_all_ms,median_path_length,median_relative_path_length,p90_relative_path_length
visibility_astar,42400,41216,1121,63,0,42337,0.9735219784113187,0.026478021588681296,18.711,19.250149999999998,819.46475,201.80983930840637,327.3166852977774,1.0079297674785987,1.1336608941442243
visibility_dijkstra,42400,41216,1121,63,0,42337,0.9735219784113187,0.026478021588681296,19.1881,19.741500000000002,821.0065,202.73315068616103,327.3166852977774,1.0079297674785987,1.1336608941442243
grid_astar,42400,40309,2028,63,0,42337,0.9520986371259182,0.047901362874081775,4.3107,4.6561,63.60178000000015,18.073822233507332,356.1132462374715,1.0684253701849806,1.2328138668262212
grid_dijkstra,42400,40309,2028,63,0,42337,0.9520986371259182,0.047901362874081775,4.5296,4.9003,76.52616000000032,20.13700785365047,356.1132462374714,1.068425370184981,1.2328138668262212
rrt,42400,39234,3103,63,0,42337,0.9267071356024281,0.07329286439757186,5.6814,4.71875,55.420760000000016,31.850784861941094,332.6972396708114,1.062514487822245,1.2986262750854562
