,scene_metric_boundary_density,scene_metric_cell_density_cv,scene_metric_clearance,scene_metric_largest_component_ratio,scene_metric_obstacle_area_ratio,scene_metric_radii_cv
scene_metric_boundary_density,1.0,-0.5467898507203195,-0.8712635550673596,-0.5968608231282767,0.7641982002383924,-0.25447243017307764
scene_metric_cell_density_cv,-0.5467898507203195,1.0,0.4351315122184002,0.6930785842148103,-0.8436365191023956,-0.16520567704267927
scene_metric_clearance,-0.8712635550673596,0.4351315122184002,1.0,0.3683796908100899,-0.5713935726970369,0.330115987921335
scene_metric_largest_component_ratio,-0.5968608231282767,0.6930785842148103,0.3683796908100899,1.0,-0.8198166257596501,-0.005635609764556903
scene_metric_obstacle_area_ratio,0.7641982002383924,-0.8436365191023956,-0.5713935726970369,-0.8198166257596501,1.0,0.042254812850241186
scene_metric_radii_cv,-0.25447243017307764,-0.16520567704267927,0.330115987921335,-0.005635609764556903,0.042254812850241186,1.0
