algorithm_id,metric,success_spearman,runtime_spearman,quality_spearman,success_sample_size,runtime_sample_size,quality_sample_size
grid_astar,scene_metric_obstacle_area_ratio,-0.31132262957494283,-0.07688060735826771,0.7227281767664617,42337,42337,40309
grid_astar,scene_metric_boundary_density,-0.32235985764974884,-0.5522076101704171,0.684438117748145,42337,42337,40309
grid_astar,scene_metric_clearance,0.2780031041573208,0.7185608583538394,-0.43412543830425615,42337,42337,40309
grid_astar,scene_metric_largest_component_ratio,0.3458070592179449,-0.08224141094794277,-0.6370716040565804,42337,42337,40309
grid_astar,scene_metric_cell_density_cv,0.19955789118378064,-0.1991990760137022,-0.43190603896549157,42337,42337,40309
grid_astar,scene_metric_radii_cv,0.13152346487810396,0.46310626859459286,-0.09468219318045665,42337,42337,40309
grid_astar,scene_width,0.22508452617190947,0.9281708236713109,-0.1805835614888714,42337,42337,40309
grid_astar,scene_height,0.2342404732712748,0.9082018352313751,-0.15787546134245373,42337,42337,40309
grid_astar,scene_obstacle_count,0.0657556773538927,0.619569119028002,0.23545580097166924,42337,42337,40309
grid_astar,scene_direct_distance,0.2370085821517999,0.9732291221790093,-0.20562623819311276,42337,42337,40309
grid_dijkstra,scene_metric_obstacle_area_ratio,-0.31132262957494283,-0.0808015894294583,0.7227281767664617,42337,42337,40309
grid_dijkstra,scene_metric_boundary_density,-0.32235985764974884,-0.556202197732597,0.684438117748145,42337,42337,40309
grid_dijkstra,scene_metric_clearance,0.2780031041573208,0.7206113589582966,-0.43412543830425615,42337,42337,40309
grid_dijkstra,scene_metric_largest_component_ratio,0.3458070592179449,-0.07832863190355449,-0.6370716040565804,42337,42337,40309
grid_dijkstra,scene_metric_cell_density_cv,0.19955789118378064,-0.1958846055016538,-0.43190603896549157,42337,42337,40309
grid_dijkstra,scene_metric_radii_cv,0.13152346487810396,0.46271441974609345,-0.09468219318045665,42337,42337,40309
grid_dijkstra,scene_width,0.22508452617190947,0.9284069191567001,-0.1805835614888714,42337,42337,40309
grid_dijkstra,scene_height,0.2342404732712748,0.9085029363145237,-0.15787546134245373,42337,42337,40309
grid_dijkstra,scene_obstacle_count,0.0657556773538927,0.6164746940318511,0.23545580097166924,42337,42337,40309
grid_dijkstra,scene_direct_distance,0.2370085821517999,0.9734363890824612,-0.20562623819311276,42337,42337,40309
rrt,scene_metric_obstacle_area_ratio,-0.28466892933671667,0.3928382325099011,0.7370488045276947,42337,42337,39234
rrt,scene_metric_boundary_density,-0.13426168558882998,-0.03706880410249913,0.6540883927986646,42337,42337,39234
rrt,scene_metric_clearance,0.012172371900587555,0.3105004626570069,-0.4187639511398312,42337,42337,39234
rrt,scene_metric_largest_component_ratio,0.3656172975315337,-0.5085819871085111,-0.6624405732205287,42337,42337,39234
rrt,scene_metric_cell_density_cv,0.28276627778122077,-0.5041504683782574,-0.548809525354007,42337,42337,39234
rrt,scene_metric_radii_cv,-0.07202381571116749,0.31016434156287437,-0.04413670444402187,42337,42337,39234
