algorithm_id,metric,low_metric_value,high_metric_value,low_quantile_median_runtime_ms,high_quantile_median_runtime_ms,low_quantile_p90_runtime_ms,high_quantile_p90_runtime_ms,low_quantile_sample_count,high_quantile_sample_count,runtime_ratio_high_to_low,log2_runtime_ratio_high_to_low,quantile_count
grid_astar,scene_metric_boundary_density,0.01068583560703402,0.10549921966756452,28.9594,1.3369,101.27368,4.55445,10585.0,10584.0,0.046164630482675745,-4.437068250900754,4
grid_astar,scene_metric_cell_density_cv,0.6344700282628839,1.9075601227598735,9.5694,3.66595,103.53082,44.08894000000001,10585.0,10584.0,0.3830908938909441,-1.3842413617241427,4
grid_astar,scene_metric_clearance,0.8571428571428612,4.994568938304912,1.1976,44.329899999999995,4.30314,111.49668,10585.0,10584.0,37.015614562458246,5.210062076433866,4
grid_astar,scene_metric_largest_component_ratio,0.9909206873264801,1.0,4.1457,3.3974,97.08824000000001,44.06840999999999,10585.0,21168.0,0.8194997226041442,-0.2871846339063662,3
grid_astar,scene_metric_obstacle_area_ratio,0.0559,0.4012,5.43215,2.99625,46.438869999999994,17.24112999999999,10612.0,10582.0,0.5515771839879238,-0.8583653139387739,4
grid_astar,scene_metric_radii_cv,0.23147237120093828,0.3740707375764182,1.9571,17.97,7.324460000000002,104.05897000000003,10585.0,10584.0,9.18195288947933,3.1988010299277674,4
grid_dijkstra,scene_metric_boundary_density,0.01068583560703402,0.10549921966756452,32.8091,1.3533,111.42040000000001,4.7342200000000005,10585.0,10584.0,0.041247702619090436,-4.599542422230707,4
grid_dijkstra,scene_metric_cell_density_cv,0.6344700282628839,1.9075601227598735,8.7314,3.89955,112.2668,48.51189000000001,10585.0,10584.0,0.4466122271342511,-1.1629053457769623,4
grid_dijkstra,scene_metric_clearance,0.8571428571428612,4.994568938304912,1.285,48.82725,4.4989,125.20379000000001,10585.0,10584.0,37.99785992217899,5.247846261690879,4
grid_dijkstra,scene_metric_largest_component_ratio,0.9909206873264801,1.0,4.2458,3.623,103.05716,48.11373,10585.0,21168.0,0.8533138631117811,-0.2288516083621371,3
grid_dijkstra,scene_metric_obstacle_area_ratio,0.0559,0.4012,5.86595,2.97715,50.51259999999998,17.93882999999999,10612.0,10582.0,0.5075307494949667,-0.978432862146202,4
grid_dijkstra,scene_metric_radii_cv,0.23147237120093828,0.3740707375764182,2.09,19.41885,7.930400000000003,113.25661000000001,10585.0,10584.0,9.291315789473684,3.2158829183010975,4
rrt,scene_metric_boundary_density,0.01068583560703402,0.10549921966756452,6.7031,4.631,70.3528000000001,85.60931000000005,10585.0,10584.0,0.6908743715594278,-0.5335046997671001,4
rrt,scene_metric_cell_density_cv,0.6344700282628839,1.9075601227598735,34.3594,1.7298,238.93924,11.04717000000001,10585.0,10584.0,0.05034430170491918,-4.3120276958978705,4
rrt,scene_metric_clearance,0.8571428571428612,4.994568938304912,3.36,15.2965,52.41708000000005,264.0439500000001,10585.0,10584.0,4.552529761904762,2.186668448769836,4
rrt,scene_metric_largest_component_ratio,0.9909206873264801,1.0,27.7539,2.19325,243.84940000000006,15.2365,10585.0,21168.0,0.07902492982968158,-3.6615483406878533,3
