config_index,config_name,algorithm_id,runs,runtime_ms_median,build_ms_median,search_ms_median,build_share_percent_median,search_share_percent_median,obstacle_count_median,nodes_median,edges_median
9,final53_wide_vertical_band_micro_porous,visibility_dijkstra,800,23.892,22.28105,1.0680999999999998,94.0978960125243,4.492253852617465,60.0,4831.5,14558.0
10,final53_wide_vertical_band_barrier_plus,grid_astar,800,2.7211499999999997,2.2742500000000003,0.2432,84.52523925564853,8.614949186196608,52.0,4389.0,33162.0
10,final53_wide_vertical_band_barrier_plus,grid_dijkstra,800,2.96565,2.3203,0.461,79.37007148594233,15.354778401830488,52.0,4389.0,33162.0
10,final53_wide_vertical_band_barrier_plus,visibility_astar,800,11.38255,11.11225,0.08745,97.86699296472169,0.7688791471166894,52.0,2538.0,7664.0
10,final53_wide_vertical_band_barrier_plus,visibility_dijkstra,800,11.94895,11.35735,0.45589999999999997,95.23792289500335,3.8053739208795823,52.0,2538.0,7664.0
11,final53_tall_horizontal_clustered_porous,grid_astar,800,2.5113000000000003,2.1116,0.2338,84.61351907225617,9.183857890541377,58.0,3920.0,29346.0
11,final53_tall_horizontal_clustered_porous,grid_dijkstra,800,2.67345,2.1627,0.35635,81.57223247566418,13.234458043744052,58.0,3920.0,29346.0
11,final53_tall_horizontal_clustered_porous,visibility_astar,800,16.0952,15.753,0.1018,98.25560145657585,0.6403567755306272,58.0,2795.5,8349.0
11,final53_tall_horizontal_clustered_porous,visibility_dijkstra,800,16.40965,15.7927,0.46655,96.34864773008925,2.882902080481329,58.0,2795.5,8349.0
12,final53_tall_horizontal_clustered_barrier,grid_astar,800,3.1821,2.56905,0.4074,81.50119916485059,12.669665983621062,69.0,4691.0,35066.0
12,final53_tall_horizontal_clustered_barrier,grid_dijkstra,800,3.2687,2.6214500000000003,0.45705,81.0257295031423,13.81153278265412,69.0,4691.0,35066.0
12,final53_tall_horizontal_clustered_barrier,visibility_astar,800,20.2715,19.92745,0.10725000000000001,98.63188454393551,0.5305159853897765,69.0,2655.0,7919.0
12,final53_tall_horizontal_clustered_barrier,visibility_dijkstra,800,20.4815,19.9506,0.4488,97.21788784525882,2.2052955318905805,69.0,2655.0,7919.0
13,final53_tall_corner_cluster_soft_heavier,grid_astar,800,3.83045,3.07815,0.4746,81.18881290605057,12.16117645608809,44.0,5832.0,44439.0
13,final53_tall_corner_cluster_soft_heavier,grid_dijkstra,800,4.0335,3.1191000000000004,0.6709499999999999,78.43093747459642,16.31810309468969,44.0,5832.0,44439.0
13,final53_tall_corner_cluster_soft_heavier,visibility_astar,800,7.8107,7.675649999999999,0.05335,98.46231895958172,0.6836178437773166,44.0,1287.5,3828.0
13,final53_tall_corner_cluster_soft_heavier,visibility_dijkstra,800,7.797000000000001,7.5702,0.1563,97.35048824204628,1.9642364104778758,44.0,1287.5,3828.0
14,final53_tall_corner_cluster_dense,grid_astar,800,5.4765,4.14825,0.7413,77.87583256085419,13.319486133712141,42.0,7420.0,56984.0
14,final53_tall_corner_cluster_dense,grid_dijkstra,800,5.8805,4.19205,1.1541,74.15862111553467,19.62732369145052,42.0,7420.0,56984.0
14,final53_tall_corner_cluster_dense,visibility_astar,800,9.406600000000001,9.174949999999999,0.07785,97.80550141919822,0.8150951128322607,42.0,1974.5,5956.0
14,final53_tall_corner_cluster_dense,visibility_dijkstra,800,9.871749999999999,9.3818,0.274,96.24353742093592,2.721054840450838,42.0,1974.5,5956.0
15,final53_wide_offset_mass_soft,grid_astar,800,5.61615,4.3233,0.64655,79.87606641170426,11.407276687841922,45.0,7580.5,57750.0
15,final53_wide_offset_mass_soft,grid_dijkstra,800,6.1068,4.366899999999999,1.10845,75.60188043760367,18.53133722603762,45.0,7580.5,57750.0
15,final53_wide_offset_mass_soft,visibility_astar,800,13.18295,12.84505,0.0935,97.82591061932898,0.7444275119357519,45.0,2444.5,7369.0
15,final53_wide_offset_mass_soft,visibility_dijkstra,800,13.64885,12.963000000000001,0.45420000000000005,95.55445180959899,3.4412260066707883,45.0,2444.5,7369.0
16,final53_wide_corner_arc_dense,grid_astar,800,5.14075,3.9584,0.64345,79.86884466215923,12.293700468788618,52.0,7098.5,53849.0
16,final53_wide_corner_arc_dense,grid_dijkstra,800,5.48485,3.99175,1.0477,75.76464899858895,19.045510840247438,52.0,7098.5,53849.0
16,final53_wide_corner_arc_dense,visibility_astar,800,14.0347,13.711400000000001,0.0964,98.19975483749238,0.6884170166036929,52.0,2439.0,7335.0
