algorithm_id,metric,quality_spearman,quality_sample_size,low_metric_value,high_metric_value,low_quantile_median_relative_path_length,high_quantile_median_relative_path_length,low_quantile_p90_relative_path_length,high_quantile_p90_relative_path_length,low_quantile_sample_count,high_quantile_sample_count,delta_relative_path_length,quantile_count,algorithm_label,metric_label
grid_astar,scene_metric_obstacle_area_ratio,0.7227281767664617,40309,0.0546,0.377,1.0280247356032775,1.13093679372659,1.0692979505506353,1.3494645696284666,10083.0,10075.0,0.1029120581233125,4,Grid A*,obstacle area ratio
grid_astar,scene_metric_boundary_density,0.684438117748145,40309,0.010389251350592935,0.0933154090855531,1.0282024170922344,1.1542834110014453,1.0752464831338873,1.3575306039461872,10078.0,10077.0,0.1260809939092109,4,Grid A*,boundary density
grid_astar,scene_metric_clearance,-0.43412543830425615,40309,0.9285714285714286,5.033576032611174,1.0860327398691219,1.0316934071905692,1.3147773303334052,1.0814058125818895,10078.0,10077.0,-0.05433933267855262,4,Grid A*,clearance
grid_astar,scene_metric_largest_component_ratio,-0.6370716040565804,40309,0.9947871360190266,1.0,1.1178504089075898,1.037931131738759,1.3259566391002007,1.081863605179406,10078.0,20154.0,-0.07991927716883085,3,Grid A*,largest component ratio
grid_astar,scene_metric_cell_density_cv,-0.43190603896549157,40309,0.6420894222741258,1.9221809010628046,1.0891948576338477,1.0350341753666037,1.2328517951555158,1.0795308606323848,10078.0,10077.0,-0.05416068226724402,4,Grid A*,cell density CV
grid_astar,scene_metric_radii_cv,-0.09468219318045665,40309,0.22942895150577808,0.375919159240803,1.0545600248052003,1.0482115437349637,1.2292712356795759,1.099805437462603,10078.0,10077.0,-0.006348481070236556,4,Grid A*,radii CV
grid_dijkstra,scene_metric_obstacle_area_ratio,0.7227281767664617,40309,0.0546,0.377,1.0280247356032772,1.13093679372659,1.0692979505506353,1.3494645696284666,10083.0,10075.0,0.10291205812331272,4,Grid Dijkstra,obstacle area ratio
grid_dijkstra,scene_metric_boundary_density,0.684438117748145,40309,0.010389251350592935,0.0933154090855531,1.0282024170922344,1.1542834110014453,1.0752464831338875,1.3575306039461872,10078.0,10077.0,0.1260809939092109,4,Grid Dijkstra,boundary density
grid_dijkstra,scene_metric_clearance,-0.43412543830425615,40309,0.9285714285714286,5.033576032611174,1.0860327398691219,1.0316934071905692,1.314777330333405,1.0814058125818888,10078.0,10077.0,-0.05433933267855262,4,Grid Dijkstra,clearance
grid_dijkstra,scene_metric_largest_component_ratio,-0.6370716040565804,40309,0.9947871360190266,1.0,1.1178504089075898,1.037931131738759,1.3259566391002007,1.081863605179406,10078.0,20154.0,-0.07991927716883085,3,Grid Dijkstra,largest component ratio
grid_dijkstra,scene_metric_cell_density_cv,-0.43190603896549157,40309,0.6420894222741258,1.9221809010628046,1.0891948576338477,1.0350341753666037,1.2328517951555158,1.0795308606323846,10078.0,10077.0,-0.05416068226724402,4,Grid Dijkstra,cell density CV
grid_dijkstra,scene_metric_radii_cv,-0.09468219318045665,40309,0.22942895150577808,0.375919159240803,1.0545600248052003,1.0482115437349637,1.2292712356795759,1.0998054374626034,10078.0,10077.0,-0.006348481070236556,4,Grid Dijkstra,radii CV
rrt,scene_metric_obstacle_area_ratio,0.7370488045276947,39234,0.0542,0.3879,1.0114040639822557,1.1952755110821756,1.0529181720400695,1.429780565720109,9827.0,9807.0,0.18387144709991987,4,RRT,obstacle area ratio
rrt,scene_metric_boundary_density,0.6540883927986646,39234,0.0102792859050718,0.0995023196237223,1.0121916644989961,1.1960366976655887,1.0706366125102258,1.4282940253207486,9809.0,9809.0,0.18384503316659262,4,RRT,boundary density
rrt,scene_metric_clearance,-0.4187639511398312,39234,0.890155227531068,5.105315451226892,1.106265507648741,1.0158570762405528,1.3892157278548518,1.1388001666854914,9809.0,9809.0,-0.09040843140818833,4,RRT,clearance
rrt,scene_metric_largest_component_ratio,-0.6624405732205287,39234,0.9950012817226352,1.0,1.1886416641826456,1.0208514818442112,1.420178555839097,1.1231160655564834,9809.0,19617.0,-0.16779018233843446,3,RRT,largest component ratio
rrt,scene_metric_cell_density_cv,-0.548809525354007,39234,0.6527102484693865,1.929876229854181,1.1440146062616245,1.0144104617410326,1.3635924301673974,1.089592407434306,9809.0,9809.0,-0.129604144520592,4,RRT,cell density CV
rrt,scene_metric_radii_cv,-0.04413670444402187,39234,0.22768177238814963,0.37243854422157774,1.0325548420858892,1.0316268324577482,1.2558871488424908,1.1825049850904015,9809.0,9809.0,-0.0009280096281409911,4,RRT,radii CV
visibility_astar,scene_metric_obstacle_area_ratio,0.813448388889663,41216,0.0552,0.38655,1.0008031962122048,1.0395691692743179,1.0037979395685894,1.246767857221137,10317.0,10294.0,0.038765973062113046,4,Visibility A*,obstacle area ratio
visibility_astar,scene_metric_boundary_density,0.6960986959344836,41216,0.010515452496775532,0.09858633732148525,1.001190629240659,1.050333406589528,1.0058221164977144,1.2532622532069888,10304.0,10304.0,0.04914277734886907,4,Visibility A*,boundary density
visibility_astar,scene_metric_clearance,-0.4036037578052715,41216,0.9026298581898682,5.0,1.0179754746585927,1.0018423827952434,1.1901122133781785,1.0235625753208177,10304.0,10304.0,-0.016133091863349325,4,Visibility A*,clearance
visibility_astar,scene_metric_largest_component_ratio,-0.7135485131762824,41216,0.9935573660195149,1.0,1.0422426479442015,1.0017595873794662,1.2308049272815857,1.0153809372520866,10304.0,20608.0,-0.040483060564735274,3,Visibility A*,largest component ratio
visibility_astar,scene_metric_cell_density_cv,-0.5525432060515829,41216,0.6384636596086342,1.9161592020796756,1.0237282158214995,1.001126654431582,1.130851123929429,1.0101181194906113,10304.0,10304.0,-0.022601561389917535,4,Visibility A*,cell density CV
visibility_astar,scene_metric_radii_cv,-0.03060060987687583,41216,0.23039495847578947,0.37515636592402657,1.0027278819980352,1.0037303863181464,1.1480313518328593,1.0291242579749083,10304.0,10304.0,0.001002504320111175,4,Visibility A*,radii CV
visibility_dijkstra,scene_metric_obstacle_area_ratio,0.813448388889663,41216,0.0552,0.38655,1.0008031962122048,1.0395691692743179,1.0037979395685894,1.246767857221137,10317.0,10294.0,0.038765973062113046,4,Visibility Dijkstra,obstacle area ratio
visibility_dijkstra,scene_metric_boundary_density,0.6960986959344836,41216,0.010515452496775532,0.09858633732148525,1.001190629240659,1.050333406589528,1.0058221164977144,1.2532622532069888,10304.0,10304.0,0.04914277734886907,4,Visibility Dijkstra,boundary density
