config_index,algorithm_id,median_runtime_success_ms,success_count
1,grid_astar,11.28825,800
1,grid_dijkstra,11.5334,800
1,rrt,0.8304,800
1,visibility_astar,57.360150000000004,800
1,visibility_dijkstra,61.1196,800
2,grid_astar,33.07535,800
2,grid_dijkstra,33.47435,800
2,rrt,2.9044999999999996,800
2,visibility_astar,479.33905,800
2,visibility_dijkstra,497.63045,800
3,grid_astar,49.62715,800
3,grid_dijkstra,50.50895,800
3,rrt,3.4097999999999997,800
3,visibility_astar,214.9451,800
3,visibility_dijkstra,227.28575,800
4,grid_astar,51.837050000000005,800
4,grid_dijkstra,53.07855,800
4,rrt,3.6202500000000004,800
4,visibility_astar,116.28444999999999,800
4,visibility_dijkstra,121.08235,800
5,grid_astar,22.2835,800
5,grid_dijkstra,23.93245,800
5,rrt,1.30895,800
5,visibility_astar,11.1299,800
5,visibility_dijkstra,11.73695,800
6,grid_astar,33.41775,800
6,grid_dijkstra,34.845299999999995,800
6,rrt,2.78565,800
6,visibility_astar,28.706850000000003,800
6,visibility_dijkstra,29.66805,800
7,grid_astar,60.21615,800
7,grid_dijkstra,62.78815,800
7,rrt,4.1135,800
7,visibility_astar,39.03345,800
7,visibility_dijkstra,41.097899999999996,800
8,grid_astar,113.10419999999999,800
8,grid_dijkstra,115.0128,800
8,rrt,8.598700000000001,800
8,visibility_astar,154.53625,800
8,visibility_dijkstra,159.83614999999998,800
9,grid_astar,100.79849999999999,800
9,grid_dijkstra,102.77244999999999,800
9,rrt,4.00765,800
9,visibility_astar,111.83785,800
9,visibility_dijkstra,118.0806,800
10,grid_astar,107.0906,800
10,grid_dijkstra,109.31665,800
10,rrt,4.525650000000001,800
10,visibility_astar,61.6259,800
10,visibility_dijkstra,65.18975,800
11,grid_astar,102.92065,800
11,grid_dijkstra,105.92075,800
11,rrt,5.33705,800
11,visibility_astar,98.29835,800
11,visibility_dijkstra,102.5029,800
12,grid_astar,146.42804999999998,800
12,grid_dijkstra,148.15695,800
12,rrt,8.94555,800
12,visibility_astar,136.37415,800
12,visibility_dijkstra,139.66289999999998,800
13,grid_astar,128.2188,795
13,grid_dijkstra,131.1186,795
13,rrt,11.1146,797
13,visibility_astar,49.6361,800
13,visibility_dijkstra,51.08115,800
14,grid_astar,148.92445,800
14,grid_dijkstra,151.953,800
14,rrt,9.372250000000001,800
14,visibility_astar,43.1967,800
14,visibility_dijkstra,44.9349,800
15,grid_astar,168.83925,800
15,grid_dijkstra,173.1103,800
15,rrt,6.0837,800
15,visibility_astar,73.38015,800
15,visibility_dijkstra,76.55665,800
16,grid_astar,173.4051,800
16,grid_dijkstra,175.76665,800
16,rrt,11.5429,800
16,visibility_astar,79.3495,800
16,visibility_dijkstra,81.5655,800
17,grid_astar,869.9490000000001,800
17,grid_dijkstra,912.3734,800
17,rrt,23.5582,799
17,visibility_astar,52.9996,800
17,visibility_dijkstra,56.46505,800
18,grid_astar,844.0427,800
18,grid_dijkstra,872.0124000000001,800
18,rrt,22.5327,797
18,visibility_astar,125.85955,800
18,visibility_dijkstra,131.74525,800
19,grid_astar,830.68535,800
19,grid_dijkstra,874.3775499999999,800
19,rrt,28.258650000000003,798
19,visibility_astar,24.1738,800
19,visibility_dijkstra,25.62655,800
20,grid_astar,4495.48105,800
20,grid_dijkstra,4575.85905,800
20,rrt,75.0834,797
20,visibility_astar,605.9395,800
20,visibility_dijkstra,628.57915,800
21,grid_astar,648.1462,800
21,grid_dijkstra,658.52775,800
21,rrt,38.1632,800
21,visibility_astar,77.00739999999999,800
21,visibility_dijkstra,79.03015,800
22,grid_astar,1387.8296,800
22,grid_dijkstra,1402.47585,800
22,rrt,58.8394,800
22,visibility_astar,230.90755000000001,800
22,visibility_dijkstra,234.91755,800
23,grid_astar,1582.96845,800
23,grid_dijkstra,1590.74215,800
23,rrt,63.5692,797
23,visibility_astar,104.9761,800
23,visibility_dijkstra,108.7334,800
24,grid_astar,233.28584999999998,800
24,grid_dijkstra,244.86435,800
24,rrt,11.4824,798
24,visibility_astar,28.6874,800
24,visibility_dijkstra,29.5507,800
25,grid_astar,72.7133,800
25,grid_dijkstra,74.02855,800
25,rrt,7.4787,800
25,visibility_astar,95.9882,800
25,visibility_dijkstra,98.2093,800
26,grid_astar,7.6665,181
26,grid_dijkstra,7.7939,181
26,rrt,6.3548,367
26,visibility_astar,31.3366,376
26,visibility_dijkstra,31.6295,376
27,grid_astar,136.78225,636
27,grid_dijkstra,137.59825,636
27,rrt,40.5142,697
27,visibility_astar,310.9123,725
27,visibility_dijkstra,312.0009,725
28,grid_astar,20.5614,799
28,grid_dijkstra,20.8678,799
28,rrt,4.9815000000000005,800
28,visibility_astar,32.87025,800
28,visibility_dijkstra,32.35965,800
29,grid_astar,14.6636,269
29,grid_dijkstra,14.5452,269
29,rrt,21.8678,381
29,visibility_astar,25.9975,409
29,visibility_dijkstra,26.3749,409
30,grid_astar,15.3223,770
30,grid_dijkstra,15.542300000000001,770
30,rrt,3.88715,800
30,visibility_astar,70.2153,800
30,visibility_dijkstra,71.1055,800
31,grid_astar,207.096,585
31,grid_dijkstra,207.2008,585
31,rrt,73.82355,642
31,visibility_astar,540.808,706
31,visibility_dijkstra,544.65955,706
32,grid_astar,33.69775,772
32,grid_dijkstra,34.0969,772
32,rrt,10.0555,800
32,visibility_astar,109.91114999999999,800
32,visibility_dijkstra,111.32565,800
33,grid_astar,54.528,799
33,grid_dijkstra,55.0745,799
33,rrt,11.4537,800
33,visibility_astar,38.827,800
33,visibility_dijkstra,38.9058,800
34,grid_astar,54.64845,790
34,grid_dijkstra,54.74105,790
34,rrt,15.0262,798
34,visibility_astar,57.9965,799
34,visibility_dijkstra,57.5363,799
35,grid_astar,57.5697,783
35,grid_dijkstra,58.9241,783
35,rrt,6.185,799
35,visibility_astar,67.98179999999999,800
35,visibility_dijkstra,68.4091,800
36,grid_astar,81.8221,800
36,grid_dijkstra,83.2053,800
36,rrt,7.8744,800
36,visibility_astar,74.80529999999999,800
36,visibility_dijkstra,76.2579,800
37,grid_astar,74.47749999999999,678
37,grid_dijkstra,74.95185000000001,678
37,rrt,51.06885,692
37,visibility_astar,45.6057,738
37,visibility_dijkstra,45.5558,738
38,grid_astar,1175.04745,778
38,grid_dijkstra,1179.21595,778
38,rrt,139.89355,712
38,visibility_astar,1771.9146,794
38,visibility_dijkstra,1778.23585,794
39,grid_astar,320.1787,793
39,grid_dijkstra,322.3795,793
