,grid_astar,grid_dijkstra,rrt,visibility_astar,visibility_dijkstra
grid_astar,0.5,0.6687836463320846,0.021988875604304205,0.3887813833482187,0.397005557209487
grid_dijkstra,0.33121635366791535,0.5,0.02149503560846286,0.38317455591942046,0.3913118983824551
rrt,0.9780111243956958,0.9785049643915371,0.5,0.9539430086149768,0.956033032573788
visibility_astar,0.6112186166517812,0.6168254440805795,0.04605699138502319,0.5,0.6575359083850931
visibility_dijkstra,0.6029944427905131,0.6086881016175449,0.04396696742621196,0.3424640916149068,0.5
