algorithm_id,metric,success_spearman,success_sample_size,low_metric_value,high_metric_value,low_quantile_success_rate,high_quantile_success_rate,low_quantile_sample_count,high_quantile_sample_count,delta_success_high_minus_low,abs_delta_success,quantile_count,algorithm_label,metric_label
grid_astar,scene_metric_obstacle_area_ratio,-0.31132262957494283,42337,0.0559,0.4012,0.9999057670561629,0.8284823284823285,10612.0,10582.0,-0.17142343857383435,0.17142343857383435,4,Grid A*,obstacle area ratio
grid_astar,scene_metric_boundary_density,-0.32235985764974884,42337,0.01068583560703402,0.10549921966756452,0.9999055266887105,0.8237906273620559,10585.0,10584.0,-0.17611489932665458,0.17611489932665458,4,Grid A*,boundary density
grid_astar,scene_metric_clearance,0.2780031041573208,42337,0.8571428571428612,4.994568938304912,0.8376003778932452,0.998771730914588,10585.0,10584.0,0.1611713530213429,0.1611713530213429,4,Grid A*,clearance
grid_astar,scene_metric_largest_component_ratio,0.3458070592179449,42337,0.9909206873264801,1.0,0.8179499291450165,0.9992913832199547,10585.0,21168.0,0.18134145407493818,0.18134145407493818,3,Grid A*,largest component ratio
grid_astar,scene_metric_cell_density_cv,0.19955789118378064,42337,0.6344700282628839,1.9075601227598735,0.8837978271138404,0.996031746031746,10585.0,10584.0,0.11223391891790568,0.11223391891790568,4,Grid A*,cell density CV
grid_astar,scene_metric_radii_cv,0.13152346487810396,42337,0.23147237120093828,0.3740707375764182,0.9228153046764289,0.9958427815570673,10585.0,10584.0,0.07302747688063838,0.07302747688063838,4,Grid A*,radii CV
grid_dijkstra,scene_metric_obstacle_area_ratio,-0.31132262957494283,42337,0.0559,0.4012,0.9999057670561629,0.8284823284823285,10612.0,10582.0,-0.17142343857383435,0.17142343857383435,4,Grid Dijkstra,obstacle area ratio
grid_dijkstra,scene_metric_boundary_density,-0.32235985764974884,42337,0.01068583560703402,0.10549921966756452,0.9999055266887105,0.8237906273620559,10585.0,10584.0,-0.17611489932665458,0.17611489932665458,4,Grid Dijkstra,boundary density
grid_dijkstra,scene_metric_clearance,0.2780031041573208,42337,0.8571428571428612,4.994568938304912,0.8376003778932452,0.998771730914588,10585.0,10584.0,0.1611713530213429,0.1611713530213429,4,Grid Dijkstra,clearance
grid_dijkstra,scene_metric_largest_component_ratio,0.3458070592179449,42337,0.9909206873264801,1.0,0.8179499291450165,0.9992913832199547,10585.0,21168.0,0.18134145407493818,0.18134145407493818,3,Grid Dijkstra,largest component ratio
grid_dijkstra,scene_metric_cell_density_cv,0.19955789118378064,42337,0.6344700282628839,1.9075601227598735,0.8837978271138404,0.996031746031746,10585.0,10584.0,0.11223391891790568,0.11223391891790568,4,Grid Dijkstra,cell density CV
grid_dijkstra,scene_metric_radii_cv,0.13152346487810396,42337,0.23147237120093828,0.3740707375764182,0.9228153046764289,0.9958427815570673,10585.0,10584.0,0.07302747688063838,0.07302747688063838,4,Grid Dijkstra,radii CV
rrt,scene_metric_obstacle_area_ratio,-0.28466892933671667,42337,0.0559,0.4012,0.9989634376177912,0.8207333207333207,10612.0,10582.0,-0.17823011688447044,0.17823011688447044,4,RRT,obstacle area ratio
rrt,scene_metric_boundary_density,-0.13426168558882998,42337,0.01068583560703402,0.10549921966756452,0.9884742560226736,0.8781179138321995,10585.0,10584.0,-0.11035634219047408,0.11035634219047408,4,RRT,boundary density
rrt,scene_metric_clearance,0.012172371900587555,42337,0.8571428571428612,4.994568938304912,0.8962683042040623,0.8616780045351474,10585.0,10584.0,-0.034590299668914914,0.034590299668914914,4,RRT,clearance
rrt,scene_metric_largest_component_ratio,0.3656172975315337,42337,0.9909206873264801,1.0,0.7592820028341993,0.9983938019652305,10585.0,21168.0,0.2391117991310312,0.2391117991310312,3,RRT,largest component ratio
rrt,scene_metric_cell_density_cv,0.28276627778122077,42337,0.6344700282628839,1.9075601227598735,0.8010392064241851,0.9951814058956916,10585.0,10584.0,0.19414219947150646,0.19414219947150646,4,RRT,cell density CV
rrt,scene_metric_radii_cv,-0.07202381571116749,42337,0.23147237120093828,0.3740707375764182,0.9508738781294285,0.9126984126984127,10585.0,10584.0,-0.0381754654310158,0.0381754654310158,4,RRT,radii CV
visibility_astar,scene_metric_obstacle_area_ratio,-0.23406710837082018,42337,0.0559,0.4012,1.0,0.9023814023814024,10612.0,10582.0,-0.09761859761859759,0.09761859761859759,4,Visibility A*,obstacle area ratio
visibility_astar,scene_metric_boundary_density,-0.2463806613797796,42337,0.01068583560703402,0.10549921966756452,1.0,0.9006991685563114,10585.0,10584.0,-0.09930083144368862,0.09930083144368862,4,Visibility A*,boundary density
visibility_astar,scene_metric_clearance,0.20718114429117523,42337,0.8571428571428612,4.994568938304912,0.9091166745394426,0.9991496598639455,10585.0,10584.0,0.09003298532450299,0.09003298532450299,4,Visibility A*,clearance
visibility_astar,scene_metric_largest_component_ratio,0.26999429405189757,42337,0.9909206873264801,1.0,0.8944733112895606,1.0,10585.0,21168.0,0.10552668871043935,0.10552668871043935,3,Visibility A*,largest component ratio
visibility_astar,scene_metric_cell_density_cv,0.14840115115704217,42337,0.6344700282628839,1.9075601227598735,0.9398205007085498,0.9982048374905518,10585.0,10584.0,0.058384336782001944,0.058384336782001944,4,Visibility A*,cell density CV
visibility_astar,scene_metric_radii_cv,0.10341353105004536,42337,0.23147237120093828,0.3740707375764182,0.9564478034955125,0.9985827664399093,10585.0,10584.0,0.04213496294439678,0.04213496294439678,4,Visibility A*,radii CV
visibility_dijkstra,scene_metric_obstacle_area_ratio,-0.23406710837082018,42337,0.0559,0.4012,1.0,0.9023814023814024,10612.0,10582.0,-0.09761859761859759,0.09761859761859759,4,Visibility Dijkstra,obstacle area ratio
visibility_dijkstra,scene_metric_boundary_density,-0.2463806613797796,42337,0.01068583560703402,0.10549921966756452,1.0,0.9006991685563114,10585.0,10584.0,-0.09930083144368862,0.09930083144368862,4,Visibility Dijkstra,boundary density
visibility_dijkstra,scene_metric_clearance,0.20718114429117523,42337,0.8571428571428612,4.994568938304912,0.9091166745394426,0.9991496598639455,10585.0,10584.0,0.09003298532450299,0.09003298532450299,4,Visibility Dijkstra,clearance
visibility_dijkstra,scene_metric_largest_component_ratio,0.26999429405189757,42337,0.9909206873264801,1.0,0.8944733112895606,1.0,10585.0,21168.0,0.10552668871043935,0.10552668871043935,3,Visibility Dijkstra,largest component ratio
visibility_dijkstra,scene_metric_cell_density_cv,0.14840115115704217,42337,0.6344700282628839,1.9075601227598735,0.9398205007085498,0.9982048374905518,10585.0,10584.0,0.058384336782001944,0.058384336782001944,4,Visibility Dijkstra,cell density CV
visibility_dijkstra,scene_metric_radii_cv,0.10341353105004536,42337,0.23147237120093828,0.3740707375764182,0.9564478034955125,0.9985827664399093,10585.0,10584.0,0.04213496294439678,0.04213496294439678,4,Visibility Dijkstra,radii CV
