config_index,algorithm_id,median_runtime_success_ms,success_count
38,visibility_dijkstra,230.32365,794
39,grid_astar,4.7985,793
39,grid_dijkstra,4.9847,793
39,rrt,10.9384,793
39,visibility_astar,75.6144,799
39,visibility_dijkstra,75.2484,799
40,grid_astar,97.60335,800
40,grid_dijkstra,103.21735,800
40,rrt,231.50965,98
40,visibility_astar,1826.049,800
40,visibility_dijkstra,1812.9310999999998,800
41,grid_astar,4.57915,798
41,grid_dijkstra,4.77835,798
41,rrt,9.631450000000001,800
41,visibility_astar,43.456450000000004,800
41,visibility_dijkstra,43.962450000000004,800
42,grid_astar,8.7309,799
42,grid_dijkstra,8.7521,799
42,rrt,21.9618,796
42,visibility_astar,26.1416,800
42,visibility_dijkstra,25.98005,800
43,grid_astar,18.6151,799
43,grid_dijkstra,19.235,799
43,rrt,90.68925,660
43,visibility_astar,701.5719,799
43,visibility_dijkstra,705.0055,799
44,grid_astar,41.387,800
44,grid_dijkstra,45.9237,800
44,rrt,78.6368,726
44,visibility_astar,1161.6365,800
44,visibility_dijkstra,1171.6292,800
45,grid_astar,11.364450000000001,800
45,grid_dijkstra,12.1734,800
45,rrt,12.65125,798
45,visibility_astar,27.9899,800
45,visibility_dijkstra,28.46315,800
46,grid_astar,18.1931,793
46,grid_dijkstra,19.7713,793
46,rrt,22.2316,773
46,visibility_astar,72.2862,797
46,visibility_dijkstra,73.1148,797
47,grid_astar,6.8323,783
47,grid_dijkstra,7.2974,783
47,rrt,14.0185,757
47,visibility_astar,34.518100000000004,798
47,visibility_dijkstra,34.73615,798
48,grid_astar,7.04545,800
48,grid_dijkstra,7.2551000000000005,800
48,rrt,10.076,799
48,visibility_astar,45.55265,800
48,visibility_dijkstra,46.07655,800
49,grid_astar,0.82875,510
49,grid_dijkstra,0.8505,510
49,rrt,3.8419,668
49,visibility_astar,9.1917,677
49,visibility_dijkstra,9.351,677
50,grid_astar,19.98725,800
50,grid_dijkstra,21.6961,800
50,rrt,39.2201,799
50,visibility_astar,215.7025,800
50,visibility_dijkstra,215.84359999999998,800
51,grid_astar,114.00829999999999,800
51,grid_dijkstra,132.2476,800
51,rrt,97.4708,761
51,visibility_astar,1333.84755,800
51,visibility_dijkstra,1342.00805,800
52,grid_astar,111.0145,799
52,grid_dijkstra,122.1107,799
52,rrt,177.02965,324
52,visibility_astar,2357.8935,799
52,visibility_dijkstra,2368.7427,799
53,grid_astar,100.2663,800
53,grid_dijkstra,109.01429999999999,800
53,rrt,119.7298,611
53,visibility_astar,1508.315,800
53,visibility_dijkstra,1511.3670499999998,800
