algorithm_id,x_bin_rank,y_bin_rank,x_value,y_value,success_rate,sample_count,x_metric,y_metric,pair_title,algorithm_label
grid_astar,7,7,0.06714865478716511,3.0,0.0,1,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid A*
grid_astar,8,1,0.13519077740116203,0.5536105583335773,0.5873452544704264,2908,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid A*
grid_astar,8,2,0.12194815306416457,0.9285714285714286,0.5412844036697247,763,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid A*
grid_astar,8,3,0.17150016896279865,1.3928571428571388,0.8751515151515151,825,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid A*
grid_astar,8,4,0.12799271238818666,1.9285714285714164,0.9811320754716981,106,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid A*
grid_astar,8,5,0.12833088014431446,1.9285714285714286,0.9882697947214076,682,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid A*
grid_astar,8,6,0.12418322691506284,2.37122948614566,1.0,8,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid A*
grid_dijkstra,1,7,0.009520845610004236,4.5210444569062185,1.0,998,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
grid_dijkstra,1,8,0.007341976479916678,6.643542649117565,1.0,4295,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
grid_dijkstra,2,4,0.020860628678943782,1.7678571428571428,1.0,574,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
grid_dijkstra,2,5,0.020404453190431677,2.208745234573527,1.0,649,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
grid_dijkstra,2,6,0.019751893592589713,2.5714285714285836,1.0,1218,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
grid_dijkstra,2,7,0.01259843375271065,4.407655651821045,0.9994606256742179,1854,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
grid_dijkstra,2,8,0.016088991422230844,5.424336769728157,1.0,997,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
grid_dijkstra,3,2,0.029825129633336053,1.0718008524851443,1.0,16,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
grid_dijkstra,3,4,0.026888084777054386,1.7856440526750896,1.0,979,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
grid_dijkstra,3,5,0.025708154466485247,2.039652947965987,1.0,1697,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
grid_dijkstra,3,6,0.024180391387931127,2.4145075676187773,1.0,1176,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
grid_dijkstra,3,7,0.026210960771436406,3.8408615027336364,0.9992977528089888,1424,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
grid_dijkstra,4,2,0.03435018665932811,0.9642857142857144,1.0,284,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
grid_dijkstra,4,3,0.03660384649662679,1.5116162644435513,1.0,308,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
grid_dijkstra,4,4,0.03399961013560908,1.7678571428571428,1.0,1542,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
grid_dijkstra,4,5,0.03423954427123019,2.2142857142857144,0.9946761313220941,1127,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
grid_dijkstra,4,6,0.034624815688625035,2.571428571428571,0.9945694336695112,1289,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
grid_dijkstra,4,7,0.03269845022436968,3.9269401991662027,1.0,742,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
grid_dijkstra,5,2,0.0467881999876951,1.0446281149684722,1.0,1143,scene_metric_boundary_density,scene_metric_clearance,boundary density × clearance,Grid Dijkstra
