algorithm_id,algorithm_label,relative_path_length
grid_astar,Grid A*,1.3797556199459837
grid_astar,Grid A*,1.1676348490163393
grid_astar,Grid A*,1.0558693316505123
grid_astar,Grid A*,1.0753302138077943
grid_astar,Grid A*,1.0575118758057962
grid_astar,Grid A*,1.075019190631541
grid_astar,Grid A*,1.089669402560097
grid_astar,Grid A*,1.0829800738748812
grid_astar,Grid A*,1.0438073713153304
grid_astar,Grid A*,1.0290612843740847
grid_astar,Grid A*,1.0497977421937836
grid_astar,Grid A*,1.0136312705948685
grid_astar,Grid A*,1.0784638104624933
grid_astar,Grid A*,1.080685832913306
grid_astar,Grid A*,1.0299447487315716
grid_astar,Grid A*,1.030007507884077
grid_astar,Grid A*,1.0536636619603046
grid_astar,Grid A*,1.2189561047462585
grid_astar,Grid A*,1.0960303006709864
grid_astar,Grid A*,1.045604860325447
grid_astar,Grid A*,1.0171465768114667
grid_astar,Grid A*,1.1261287855355233
grid_astar,Grid A*,1.0
grid_astar,Grid A*,1.0504339045134237
grid_astar,Grid A*,1.3292993016308325
grid_astar,Grid A*,1.0382729107125221
grid_astar,Grid A*,1.0218850033699631
grid_astar,Grid A*,1.3046868326899457
grid_astar,Grid A*,1.0606460240794124
grid_astar,Grid A*,1.0295813622364933
grid_astar,Grid A*,1.0977546192646679
grid_astar,Grid A*,1.0231907151648016
grid_astar,Grid A*,1.8164628703211627
grid_astar,Grid A*,1.080391871601237
grid_astar,Grid A*,1.0505245868649216
grid_astar,Grid A*,1.0243305296447816
grid_astar,Grid A*,1.2551595674735274
grid_astar,Grid A*,1.0097652250173828
grid_astar,Grid A*,1.0406251779507598
grid_astar,Grid A*,1.026536525649494
grid_astar,Grid A*,1.0194931562040246
grid_astar,Grid A*,1.073671144618962
grid_astar,Grid A*,1.0091026793269322
grid_astar,Grid A*,1.1844020273529443
grid_astar,Grid A*,1.1361906479489465
grid_astar,Grid A*,1.0287558225481834
grid_astar,Grid A*,1.0262024212050804
grid_astar,Grid A*,1.2332309521619818
grid_astar,Grid A*,1.1664831313508957
grid_astar,Grid A*,1.0168249044166702
grid_astar,Grid A*,1.385912818494798
grid_astar,Grid A*,1.0078560169595099
grid_astar,Grid A*,1.083937201077544
grid_astar,Grid A*,1.3514953629372135
grid_astar,Grid A*,1.0718211023157618
grid_astar,Grid A*,1.0202610825320257
grid_astar,Grid A*,1.0522645181977168
grid_astar,Grid A*,1.0583430516435757
grid_astar,Grid A*,1.0586191115048922
grid_astar,Grid A*,1.0441340421171434
grid_astar,Grid A*,1.0263733536845812
grid_astar,Grid A*,1.1463204653173495
grid_astar,Grid A*,1.1967665450488953
grid_astar,Grid A*,1.1188137765335484
grid_astar,Grid A*,1.0458429741567166
grid_astar,Grid A*,1.1875992038653258
grid_astar,Grid A*,1.1630383796465948
grid_astar,Grid A*,1.0828712242382974
grid_astar,Grid A*,1.010559646357885
grid_astar,Grid A*,1.0901165799629429
grid_astar,Grid A*,1.0827412223445292
grid_astar,Grid A*,1.3124481603308815
grid_astar,Grid A*,1.0771684401852397
grid_astar,Grid A*,1.0539700092152693
grid_astar,Grid A*,1.218403230919574
grid_astar,Grid A*,1.3200262212813474
grid_astar,Grid A*,1.0659289232425242
grid_astar,Grid A*,1.0666285061213003
grid_astar,Grid A*,1.028680757694215
grid_astar,Grid A*,1.1333959875642325
grid_astar,Grid A*,1.143359629056154
grid_astar,Grid A*,1.0800941285072765
grid_astar,Grid A*,1.3278716897825655
grid_astar,Grid A*,1.07848518421516
grid_astar,Grid A*,1.0490443592989571
grid_astar,Grid A*,1.0685134281170023
grid_astar,Grid A*,1.1188790074241572
grid_astar,Grid A*,1.1602230662111006
grid_astar,Grid A*,1.0719662761093318
grid_astar,Grid A*,1.0599375154860031
grid_astar,Grid A*,1.0169666851888621
grid_astar,Grid A*,1.0365444847235132
grid_astar,Grid A*,1.0796529819203724
grid_astar,Grid A*,1.0797740637289437
grid_astar,Grid A*,1.0245950589439776
grid_astar,Grid A*,1.0617757405092334
grid_astar,Grid A*,1.1282276313530248
grid_astar,Grid A*,1.0120809664161146
grid_astar,Grid A*,1.0
grid_astar,Grid A*,1.276720682498622
grid_astar,Grid A*,1.0734279295639961
grid_astar,Grid A*,1.0384107955265398
grid_astar,Grid A*,1.0243394771138876
grid_astar,Grid A*,1.0795840474053109
grid_astar,Grid A*,1.2704911181888294
grid_astar,Grid A*,1.0174069901579565
grid_astar,Grid A*,1.0514627238975245
grid_astar,Grid A*,1.026883685434657
grid_astar,Grid A*,1.330603488409949
grid_astar,Grid A*,1.028764226389935
grid_astar,Grid A*,1.0576123024044612
grid_astar,Grid A*,1.0787507407404349
grid_astar,Grid A*,1.0612685873509247
grid_astar,Grid A*,1.0329707944542346
grid_astar,Grid A*,1.0520189353398655
grid_astar,Grid A*,1.074241090573946
grid_astar,Grid A*,1.1150235384449545
