,grid_astar,grid_dijkstra,rrt,visibility_astar,visibility_dijkstra
grid_astar,0.5,0.5082239698330397,0.45289026355460826,0.018743177532995932,0.018743177532995932
grid_dijkstra,0.49177603016696025,0.5,0.45289026355460826,0.018743177532995932,0.018743177532995932
rrt,0.5471097364453916,0.5471097364453916,0.5,0.019460162104297293,0.019460162104297293
visibility_astar,0.9812568224670041,0.9812568224670041,0.9805398378957028,0.5,0.5
visibility_dijkstra,0.9812568224670041,0.9812568224670041,0.9805398378957028,0.5,0.5
