,grid_astar,grid_dijkstra,rrt,visibility_astar,visibility_dijkstra
grid_astar,0.5,0.7674588801508347,0.4990772989551385,0.8795276371936092,0.882182197082465
grid_dijkstra,0.2325411198491652,0.5,0.4731896865415606,0.8700506103006848,0.8733998213754094
rrt,0.5009227010448615,0.5268103134584394,0.5,0.9085996839475965,0.9109700769740531
visibility_astar,0.12047236280639079,0.12994938969931527,0.09140031605240352,0.5,0.5920394992236025
visibility_dijkstra,0.11781780291753498,0.12660017862459066,0.08902992302594688,0.4079605007763975,0.5
