candidate_name,strategy,base_model,component_models,score_beta,score_gamma,score_delta,score_proxy_objective,score_proxy_macro_f1,score_proxy_balanced_accuracy,score_min_share,score_majority_share,train_trim_quantile,train_trim_threshold,trimmed_train_rows,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1,validation_bias_penalty,bias_visibility_astar,bias_grid_astar,bias_rrt
flat::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.05,flat,hist_gradient_boosting,hist_gradient_boosting,0.3,0.6,0.8,0.5951466255669386,0.6679966301511969,0.674311410373922,0.27799209064221075,0.3619137734429968,0.05,0.02509012737459062,25059,0.6705079605761941,0.6691163786744468,0.6721160196482879,0.6717874499117932,0.20000000000000007,1.0,0.9,1.1
hierarchical::hist_gradient_boosting|b=0.45|g=1.05|d=1.50|trim=0.00,hierarchical,hist_gradient_boosting,hist_gradient_boosting,0.45,1.05,1.5,0.5924113279536065,0.6613857056229752,0.6646734472062571,0.3069849819249339,0.34711405488026786,0.0,0.00010654933926451671,26378,0.6703563305534496,0.6733483308058098,0.6710592669267422,0.6695682886835221,0.19999999999999996,0.8,1.0,1.0
hierarchical::hist_gradient_boosting|b=0.45|g=1.05|d=1.50|trim=0.05,hierarchical,hist_gradient_boosting,hist_gradient_boosting,0.45,1.05,1.5,0.5924113279536065,0.6613857056229752,0.6646734472062571,0.3069849819249339,0.34711405488026786,0.05,0.042810871486919234,25059,0.6703563305534496,0.6728781255334294,0.6695533192388874,0.6680672540067681,0.20000000000000018,1.0,1.1,1.1
hierarchical::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.05,hierarchical,hist_gradient_boosting,hist_gradient_boosting,0.3,0.6,0.8,0.5951466255669386,0.6679966301511969,0.674311410373922,0.27799209064221075,0.3619137734429968,0.05,0.02509012737459062,25059,0.665959059893859,0.6681613547141128,0.6690984909017672,0.6676269114077035,0.3500000000000001,1.0,1.1,1.25
flat::hist_gradient_boosting|b=0.45|g=1.05|d=1.50|trim=0.05,flat,hist_gradient_boosting,hist_gradient_boosting,0.45,1.05,1.5,0.5924113279536065,0.6613857056229752,0.6646734472062571,0.3069849819249339,0.34711405488026786,0.05,0.042810871486919234,25059,0.6683851402577711,0.6658876500835225,0.668770213793762,0.6687752872020842,0.6,1.25,0.9,1.25
hierarchical::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.00,hierarchical,hist_gradient_boosting,hist_gradient_boosting,0.3,0.6,0.8,0.5951466255669386,0.6679966301511969,0.674311410373922,0.27799209064221075,0.3619137734429968,0.0,1.3945321409192246e-05,26378,0.6670204700530705,0.6659691925072122,0.6684197620402674,0.6680115371635084,0.3500000000000001,1.1,1.0,1.25
flat::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.00,flat,hist_gradient_boosting,hist_gradient_boosting,0.3,0.6,0.8,0.5951466255669386,0.6679966301511969,0.674311410373922,0.27799209064221075,0.3619137734429968,0.0,1.3945321409192246e-05,26378,0.665352539802881,0.6687077607818855,0.6681848614323092,0.6663530569651568,0.20000000000000007,0.9,1.0,1.1
flat::hist_gradient_boosting|b=0.45|g=1.05|d=1.50|trim=0.00,flat,hist_gradient_boosting,hist_gradient_boosting,0.45,1.05,1.5,0.5924113279536065,0.6613857056229752,0.6646734472062571,0.3069849819249339,0.34711405488026786,0.0,0.00010654933926451671,26378,0.6645943896891584,0.6654845645004565,0.6667487119486037,0.665795312412622,0.20000000000000007,0.9,1.0,1.1
hierarchical::hist_gradient_boosting|b=0.45|g=0.75|d=1.25|trim=0.00,hierarchical,hist_gradient_boosting,hist_gradient_boosting,0.45,0.75,1.25,0.5928119709908012,0.6624325756595212,0.6694160531061003,0.30179294951112406,0.36006987408108304,0.0,4.123742311290535e-05,26378,0.6603487490523123,0.6642876486120319,0.6634472901670082,0.6603365966704631,0.30000000000000004,0.9,0.9,1.1
flat::hist_gradient_boosting|b=0.45|g=0.75|d=1.25|trim=0.05,flat,hist_gradient_boosting,hist_gradient_boosting,0.45,0.75,1.25,0.5928119709908012,0.6624325756595212,0.6694160531061003,0.30179294951112406,0.36006987408108304,0.05,0.03987207535263797,25059,0.6589840788476118,0.6606067233342386,0.6631228749968149,0.6604511051234263,0.4,0.8,0.9,1.1
flat::extra_trees|b=0.30|g=0.60|d=0.80|trim=0.00,flat,extra_trees,extra_trees,0.3,0.6,0.8,0.5951466255669386,0.6679966301511969,0.674311410373922,0.27799209064221075,0.3619137734429968,0.0,1.3945321409192246e-05,26378,0.6612585291887794,0.6570056996109086,0.6626268065468134,0.6631963960330869,0.55,1.1,0.8,1.25
flat::hist_gradient_boosting|b=0.45|g=0.75|d=1.25|trim=0.00,flat,hist_gradient_boosting,hist_gradient_boosting,0.45,0.75,1.25,0.5928119709908012,0.6624325756595212,0.6694160531061003,0.30179294951112406,0.36006987408108304,0.0,4.123742311290535e-05,26378,0.6580742987111448,0.6607689221024483,0.6619762395102381,0.6589406819408572,0.30000000000000004,0.8,1.0,1.1
flat::extra_trees|b=0.45|g=1.05|d=1.50|trim=0.00,flat,extra_trees,extra_trees,0.45,1.05,1.5,0.5924113279536065,0.6613857056229752,0.6646734472062571,0.3069849819249339,0.34711405488026786,0.0,0.00010654933926451671,26378,0.6601971190295679,0.6619947353426107,0.661966605373944,0.660661564151119,0.20000000000000007,0.9,1.0,1.1
flat::extra_trees|b=0.30|g=0.60|d=0.80|trim=0.05,flat,extra_trees,extra_trees,0.3,0.6,0.8,0.5951466255669386,0.6679966301511969,0.674311410373922,0.27799209064221075,0.3619137734429968,0.05,0.02509012737459062,25059,0.6567096285064443,0.6631967576307424,0.6616325574021625,0.6588924268072837,0.55,0.8,1.1,1.25
hierarchical::hist_gradient_boosting|b=0.45|g=0.75|d=1.25|trim=0.05,hierarchical,hist_gradient_boosting,hist_gradient_boosting,0.45,0.75,1.25,0.5928119709908012,0.6624325756595212,0.6694160531061003,0.30179294951112406,0.36006987408108304,0.05,0.03987207535263797,25059,0.6571645185746778,0.6591282239219068,0.661209219078723,0.6583989846977004,0.45000000000000007,0.9,1.1,1.25
flat::extra_trees|b=0.45|g=1.05|d=1.50|trim=0.05,flat,extra_trees,extra_trees,0.45,1.05,1.5,0.5924113279536065,0.6613857056229752,0.6646734472062571,0.3069849819249339,0.34711405488026786,0.05,0.042810871486919234,25059,0.6577710386656558,0.65971830690583,0.6611256163499272,0.6597928448170441,0.30000000000000004,0.8,1.0,1.1
flat::extra_trees|b=0.45|g=0.75|d=1.25|trim=0.00,flat,extra_trees,extra_trees,0.45,0.75,1.25,0.5928119709908012,0.6624325756595212,0.6694160531061003,0.30179294951112406,0.36006987408108304,0.0,4.123742311290535e-05,26378,0.6565579984836998,0.6568158406697954,0.6606490566979436,0.6584026871205516,0.44999999999999996,0.8,1.0,1.25
flat::extra_trees|b=0.45|g=0.75|d=1.25|trim=0.05,flat,extra_trees,extra_trees,0.45,0.75,1.25,0.5928119709908012,0.6624325756595212,0.6694160531061003,0.30179294951112406,0.36006987408108304,0.05,0.03987207535263797,25059,0.6551933282789992,0.6573828769368042,0.6590488155588249,0.6564022299474619,0.4,0.8,0.9,1.1
