feature,feature_label,importance,importance_std,importance_source,selected_candidate
scene_obstacle_density,obstacle density,0.14101132773214642,0.002001897544119502,manual_permutation_importance_fast,flat::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.05
scene_obstacle_count,obstacle count,0.047679847578741386,0.0023568224095184553,manual_permutation_importance_fast,flat::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.05
scene_metric_clearance,clearance,0.0418920804070993,0.003049743583915465,manual_permutation_importance_fast,flat::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.05
scene_metric_boundary_density,boundary density,0.035650877859256136,0.00023956458656881896,manual_permutation_importance_fast,flat::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.05
scene_height,scene height,0.01922306622319281,0.0018784974592316317,manual_permutation_importance_fast,flat::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.05
scene_direct_distance,direct distance,0.01845389515579654,0.001683154647618812,manual_permutation_importance_fast,flat::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.05
scene_metric_obstacle_area_ratio,obstacle area ratio,0.01541156771426544,0.0023508455147716045,manual_permutation_importance_fast,flat::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.05
scene_start_goal_dy_norm,|goal y - start y| / height,0.0071717386494479785,0.0008714313467950152,manual_permutation_importance_fast,flat::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.05
scene_boundary_area_interaction,boundary * area ratio,0.005247225720819204,0.001304242392494659,manual_permutation_importance_fast,flat::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.05
scene_metric_cell_density_cv,cell density CV,0.0030471308881228065,0.0016553836598476313,manual_permutation_importance_fast,flat::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.05
scene_start_goal_dx_norm,|goal x - start x| / width,0.0026186702532586814,0.0015921220844391515,manual_permutation_importance_fast,flat::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.05
scene_width,scene width,0.00172803140000094,0.0015036478895422145,manual_permutation_importance_fast,flat::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.05
scene_clearance_component_interaction,clearance * component,0.0013651488068985307,0.0002649391631663889,manual_permutation_importance_fast,flat::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.05
scene_metric_radii_cv,radii CV,-0.00022456150105271133,0.00037950344684228865,manual_permutation_importance_fast,flat::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.05
scene_metric_largest_component_ratio,largest component ratio,-0.00036885922973151075,0.0006722387588047329,manual_permutation_importance_fast,flat::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.05
scene_direct_distance_ratio,distance / sqrt(area),-0.0023893454122945745,0.00020940114865791726,manual_permutation_importance_fast,flat::hist_gradient_boosting|b=0.30|g=0.60|d=0.80|trim=0.05
