,precision,recall,f1-score,support
grid_astar,0.6529245947850599,0.6689530685920577,0.6608416547788873,2770.0
rrt,0.6230792407351612,0.6404459585010839,0.6316432498472816,3229.0
visibility_astar,0.4911356013416387,0.45657015590200445,0.4732225300092336,2245.0
accuracy,0.5999514798641437,0.5999514798641437,0.5999514798641437,0.5999514798641437
macro avg,0.5890464789539532,0.5886563943317152,0.5885691448784676,8244.0
weighted avg,0.5971765430495428,0.5999514798641437,0.5983129569826685,8244.0
