Модель,Accuracy,Balanced accuracy,Macro F1,Weighted F1
Итоговая модель,0.5999514798641437,0.5886563943317152,0.5885691448784676,0.5983129569826685
Majority baseline,0.39167879670063077,0.3333333333333333,0.18762892588395944,0.2204708157493832
