Класс,Precision,Recall,F1-score,Support
Visibility A*,0.4911356013416387,0.45657015590200445,0.4732225300092336,2245.0
Grid A*,0.6529245947850599,0.6689530685920577,0.6608416547788873,2770.0
RRT,0.6230792407351612,0.6404459585010839,0.6316432498472816,3229.0
