algorithm_id,total_slots,Success,NoPath,NotRun,Failed,executed_runs,success_rate_executed,no_path_rate_executed,median_runtime_all_ms,median_runtime_success_ms,p90_runtime_success_ms,mean_runtime_all_ms,median_path_length,median_relative_path_length,p90_relative_path_length
visibility_astar,42400,41216,1121,63,0,42337,0.9735219784113187,0.026478021588681296,109.7786,113.0564,5377.92195,1320.4395237853414,327.3166852977774,1.0079297674785987,1.1336608941442243
visibility_dijkstra,42400,41216,1121,63,0,42337,0.9735219784113187,0.026478021588681296,112.7131,116.5881,5386.6473000000005,1327.8145283652598,327.3166852977774,1.0079297674785987,1.1336608941442243
grid_astar,42400,40309,2028,63,0,42337,0.9520986371259182,0.047901362874081775,158.6124,172.363,5893.306000000019,2064.7030575052554,356.1132462374715,1.0684253701849806,1.2328138668262212
grid_dijkstra,42400,40309,2028,63,0,42337,0.9520986371259182,0.047901362874081775,161.4657,174.9076,5930.803560000058,2074.7934734393084,356.1132462374714,1.068425370184981,1.2328138668262212
rrt,42400,39234,3103,63,0,42337,0.9267071356024281,0.07329286439757186,19.7762,15.8554,173.73389,105.08569121572147,332.6972396708114,1.062514487822245,1.2986262750854562
