metric,metric_id,min,p05,median,p95,max,std,n_unique,share_eq_1,share_lt_0_95
boundary density,scene_metric_boundary_density,0.0028761002414475862,0.007295385248000089,0.03754527108831068,0.14726241630323242,0.2368079426458375,0.04309722944723449,42287,0.0,1.0
cell density CV,scene_metric_cell_density_cv,0.40271388979956585,0.5676052747168849,1.2723521497120247,2.1621502860904647,3.1516233960031785,0.5124829092171176,42337,0.0,0.31683869901032197
clearance,scene_metric_clearance,0.34130860483314485,0.5577024583142512,1.9285714285714164,6.684580915903281,12.336595916099842,2.016210025438594,26669,0.0008503200510192031,0.169756950185417
largest component ratio,scene_metric_largest_component_ratio,0.2437164153232796,0.9567061743524149,0.9997701809824763,1.0,1.0,0.0517336287923328,26518,0.2805583768335026,0.045610222736613366
obstacle area ratio,scene_metric_obstacle_area_ratio,0.0149,0.0358,0.1616,0.4823,0.7352,0.14923574320931016,5736,0.0,1.0
radii CV,scene_metric_radii_cv,6.055761952500849e-16,0.1727536271967215,0.31333495569072056,0.41383956294898244,0.5502043592323654,0.0745211018676687,41539,0.0,1.0
