config_index,config_name,scene_id,scene_index,scene_seed,algorithm_count,path_found_count,median_runtime_ms,max_runtime_ms,median_build_percent,median_search_percent,max_build_percent,max_search_percent,median_build_ms,median_search_ms,median_nodes,median_edges,median_expanded_nodes,obstacle_count,scene_area,clearance,obstacle_area_ratio,boundary_density,largest_component_ratio,build_dominates_95,build_dominates_99,extreme_type
25,final53_compact_rectangular_pressure_plus,scene_645,645,93169,4,4,8.6434,15.017,78.98025113229079,18.88471894860387,98.65612427358069,37.52861952861953,7.9296999999999995,0.6335,2395.5,12335.0,1180.0,56,47600.0,0.8806281960878573,0.3157,0.06437702858648583,1.0,False,False,highest_search_percent
33,final53_medium_multi_cluster_passages,scene_615,615,93247,4,4,4.5104500000000005,5.26,78.408961401507,18.770454234095148,98.9106463878327,43.05311290889905,3.5184,0.5586,1548.5,10328.0,651.0,44,44100.0,1.3824858795183586,0.2632,0.06903458179946785,0.9999306374419089,False,False,highest_search_percent
14,final53_tall_corner_cluster_dense,scene_263,263,92776,4,4,5.6197,7.7889,75.52276596900495,18.175880781196273,97.49607398359798,25.13705401276175,4.81125,0.9479,4291.5,30576.0,1544.5,30,96000.0,3.7154947844902555,0.0477,0.01312288370833772,1.0,False,False,highest_search_percent
33,final53_medium_multi_cluster_passages,scene_143,143,92775,4,4,5.43275,7.5356,79.64199053083973,18.007108578108845,99.51297839588089,46.142074344670974,4.4193999999999996,0.46575,1395.0,9683.0,708.0,51,44100.0,1.6868743667372428,0.299,0.07896523388305172,0.9946597387601934,False,False,highest_search_percent
52,final53_giant_heterogeneous_load,scene_218,218,92861,4,4,1891.27495,3783.0532,87.1782469791078,8.672168519481817,99.93034726553674,19.958741000316387,1872.1996,11.57045,69651.5,494623.0,29866.0,519,2250000.0,3.1393889445210466,0.3355,0.0308040339503795,0.9979472363719304,False,False,highest_median_runtime
52,final53_giant_heterogeneous_load,scene_86,86,92729,4,4,1879.87625,3661.4166,88.7008710504562,7.101219696473614,99.93981564403242,20.316036779935217,1861.5939,9.17225,67405.5,480468.0,21684.5,519,2250000.0,3.3995768369693895,0.3481,0.031306415663481156,0.995452763622109,False,False,highest_median_runtime
52,final53_giant_heterogeneous_load,scene_533,533,93176,4,4,1861.5708,3755.6242,88.4287039332929,6.976011978327938,99.9433889045661,20.47098453974443,1844.0681,9.00785,67315.0,477032.0,23699.5,520,2250000.0,3.1297744953216187,0.352,0.03196087027998661,0.9918000473074193,False,False,highest_median_runtime
52,final53_giant_heterogeneous_load,scene_54,54,92697,4,4,1804.44055,3513.3849,89.51071062308269,5.876328087827028,99.92951438162191,20.035529237601775,1787.10485,8.07075,68207.0,483063.0,19550.0,516,2250000.0,3.1811265771320496,0.3438,0.03172952810230668,0.995238838588823,False,False,highest_median_runtime
52,final53_giant_heterogeneous_load,scene_217,217,92860,4,4,1789.2968,3606.8781,86.95536584264516,9.099027253290972,99.93745837986596,19.719874987508145,1770.2964,11.8001,68468.0,485893.0,28720.0,520,2250000.0,3.1285791557066953,0.3519,0.03150503682251019,0.9952841128720525,False,False,highest_median_runtime
52,final53_giant_heterogeneous_load,scene_8,8,92651,4,4,1789.2588,3518.6203,88.87515647524643,7.120171490875249,99.92999908179208,19.036902684000967,1765.8516000000002,10.24745,66950.5,476613.0,21191.5,520,2250000.0,3.0382298069405813,0.3469,0.0319826608055556,0.9952900541643771,False,False,highest_median_runtime
52,final53_giant_heterogeneous_load,scene_756,756,93399,4,4,1788.5571499999999,3548.8355,89.12186015433048,7.070791572825657,99.93816402712594,19.86786996577516,1770.9332499999998,9.5785,69911.0,498221.0,24165.0,517,2250000.0,3.5432720777602507,0.3272,0.030423112209573045,0.9866010598031794,False,False,highest_median_runtime
52,final53_giant_heterogeneous_load,scene_501,501,93144,4,4,1786.27505,3481.8723,89.87850332419015,6.292197417809017,99.93675413952346,19.897658388241258,1770.91645,9.27885,68360.5,486281.0,23043.5,519,2250000.0,3.185940941240076,0.3323,0.03161305822879276,0.9960584280083469,False,False,highest_median_runtime
52,final53_giant_heterogeneous_load,scene_261,261,92904,4,4,1784.912,3506.5605,88.63520645270157,6.640560330658551,99.93600644502591,20.486285279105452,1767.9213,8.9014,68535.0,486073.0,22010.0,512,2250000.0,3.221300337923772,0.3385,0.0307159678353327,0.9902920161540851,False,False,highest_median_runtime
52,final53_giant_heterogeneous_load,scene_276,276,92919,4,4,1772.04955,3476.2044,88.84772125108734,7.393217905567666,99.93923590632177,18.285936554585533,1754.5806499999999,9.51925,67060.5,476927.0,23049.5,516,2250000.0,3.186274315208303,0.3519,0.031847752563801006,0.998738369342375,False,False,highest_median_runtime
52,final53_giant_heterogeneous_load,scene_255,255,92898,4,4,1764.16965,3505.2755,89.71888712768832,5.627102417545235,99.93811847842305,21.22280358125223,1748.86675,9.0695,66710.0,475582.0,19116.5,506,2250000.0,3.154125307436472,0.3599,0.031130148257368883,0.9945575011831519,False,False,highest_median_runtime
52,final53_giant_heterogeneous_load,scene_307,307,92950,4,4,1764.04,3524.0704,87.84713743703466,8.155202673451754,99.92560333451925,21.175191524866626,1746.1727,11.0388,69563.0,495493.0,21576.0,514,2250000.0,3.3783616948796613,0.3327,0.030918512868184804,0.9966458301570361,False,False,highest_median_runtime
52,final53_giant_heterogeneous_load,scene_532,532,93175,4,4,1758.95135,3400.3461,87.44970555877711,8.465102205516562,99.92021106322088,22.763847454904358,1738.2799,10.748000000000001,69813.5,498789.0,27364.0,510,2250000.0,3.271462516566716,0.3255,0.030585430070269218,0.9981164770586906,False,False,highest_median_runtime
52,final53_giant_heterogeneous_load,scene_575,575,93218,4,4,1758.1578499999998,3420.4608,89.68609797522697,5.743698696399837,99.918589916306,19.496721837456292,1738.7887500000002,8.08485,70312.5,499584.0,20048.5,513,2250000.0,3.402070090864209,0.3196,0.03040178312933432,0.9983323226197696,False,False,highest_median_runtime
52,final53_giant_heterogeneous_load,scene_647,647,93290,4,4,1757.3635,3401.6645,89.25161147380189,6.790990077539244,99.93533165895695,20.80064476333663,1740.7808,9.54395,68966.5,488898.0,21072.0,513,2250000.0,3.390264914031409,0.3286,0.031140151294514116,0.9936478425904408,False,False,highest_median_runtime
