algorithm_id,target,feature,spearman_corr,abs_spearman_corr,pair_count
visibility_dijkstra,graph_build_share_percent,graph_node_count,-0.06352635537942404,0.06352635537942404,42337
visibility_dijkstra,graph_build_share_percent,scene_aspect_ratio,0.003332189846785811,0.003332189846785811,42337
grid_astar,graph_search_share_percent,graph_expanded_nodes,0.6297560788461516,0.6297560788461516,42337
grid_astar,graph_search_share_percent,scene_direct_distance,0.3536768561071403,0.3536768561071403,42337
grid_astar,graph_search_share_percent,scene_area,0.31486593014308656,0.31486593014308656,42337
grid_astar,graph_search_share_percent,graph_edge_count,0.3053052977509377,0.3053052977509377,42337
grid_astar,graph_search_share_percent,graph_node_count,0.30322472497371905,0.30322472497371905,42337
grid_astar,graph_search_share_percent,scene_obstacle_count,0.2580168831323419,0.2580168831323419,42337
grid_astar,graph_search_share_percent,scene_metric_clearance,0.2537940280939355,0.2537940280939355,42337
grid_astar,graph_search_share_percent,scene_metric_largest_component_ratio,-0.2441922141574433,0.2441922141574433,42337
grid_astar,graph_search_share_percent,graph_edge_per_node,0.21567467661611575,0.21567467661611575,42337
grid_astar,graph_search_share_percent,scene_metric_obstacle_area_ratio,0.17615023424623477,0.17615023424623477,42337
grid_astar,graph_search_share_percent,scene_metric_radii_cv,0.16714160598234915,0.16714160598234915,42337
grid_astar,graph_search_share_percent,scene_metric_cell_density_cv,-0.10775769845140568,0.10775769845140568,42337
grid_astar,graph_search_share_percent,scene_aspect_ratio,-0.09610857768838932,0.09610857768838932,42337
grid_astar,graph_search_share_percent,scene_metric_boundary_density,-0.011824406768877643,0.011824406768877643,42337
grid_dijkstra,graph_search_share_percent,scene_metric_clearance,0.8380121800628606,0.8380121800628606,42337
grid_dijkstra,graph_search_share_percent,graph_edge_per_node,0.8329348530740515,0.8329348530740515,42337
grid_dijkstra,graph_search_share_percent,graph_expanded_nodes,0.8271176460381335,0.8271176460381335,42337
grid_dijkstra,graph_search_share_percent,graph_edge_count,0.8203272483892633,0.8203272483892633,42337
grid_dijkstra,graph_search_share_percent,graph_node_count,0.8135962800107714,0.8135962800107714,42337
grid_dijkstra,graph_search_share_percent,scene_metric_boundary_density,-0.7764619393967687,0.7764619393967687,42337
grid_dijkstra,graph_search_share_percent,scene_area,0.7657156695820443,0.7657156695820443,42337
grid_dijkstra,graph_search_share_percent,scene_direct_distance,0.7560905349944421,0.7560905349944421,42337
grid_dijkstra,graph_search_share_percent,scene_metric_obstacle_area_ratio,-0.4545261502577218,0.4545261502577218,42337
grid_dijkstra,graph_search_share_percent,scene_metric_radii_cv,0.3401947205318168,0.3401947205318168,42337
grid_dijkstra,graph_search_share_percent,scene_metric_largest_component_ratio,0.2911580078643347,0.2911580078643347,42337
grid_dijkstra,graph_search_share_percent,scene_metric_cell_density_cv,0.25236055464945784,0.25236055464945784,42337
