algorithm_id,metric,low_metric_value,high_metric_value,low_quantile_median_runtime_ms,high_quantile_median_runtime_ms,low_quantile_p90_runtime_ms,high_quantile_p90_runtime_ms,low_quantile_sample_count,high_quantile_sample_count,runtime_ratio_high_to_low,log2_runtime_ratio_high_to_low,quantile_count
grid_astar,scene_metric_boundary_density,0.01068583560703402,0.10549921966756452,808.9482,37.292649999999995,14706.646780000001,292.4027600000001,10585.0,10584.0,0.046100170567163624,-4.439084101247099,4
grid_astar,scene_metric_cell_density_cv,0.6344700282628839,1.9075601227598735,378.4325,120.2436,19012.55688,916.9869800000001,10585.0,10584.0,0.3177412088020981,-1.654075885292283,4
grid_astar,scene_metric_clearance,0.8571428571428612,4.994568938304912,36.719,1466.7510499999999,206.01088000000001,21270.392230000005,10585.0,10584.0,39.9452885427163,5.319953445427353,4
grid_astar,scene_metric_largest_component_ratio,0.9909206873264801,1.0,210.36,123.95155,18727.3694,1345.65845,10585.0,21168.0,0.5892353584331621,-0.7630840896568176,3
grid_astar,scene_metric_obstacle_area_ratio,0.0559,0.4012,147.449,154.57635,1485.5955499999998,2351.69087,10612.0,10582.0,1.0483377303338781,0.06810356743356175,4
grid_astar,scene_metric_radii_cv,0.23147237120093828,0.3740707375764182,58.8149,568.24535,214.10412000000005,18375.463570000004,10585.0,10584.0,9.661588305004344,3.272260378646312,4
grid_dijkstra,scene_metric_boundary_density,0.01068583560703402,0.10549921966756452,847.1177,37.7462,14760.328920000002,287.86856000000006,10585.0,10584.0,0.0445583889936428,-4.4881591167219455,4
grid_dijkstra,scene_metric_cell_density_cv,0.6344700282628839,1.9075601227598735,376.2333,122.7498,19086.635459999998,957.0248600000006,10585.0,10584.0,0.3262597967803488,-1.6159068719658438,4
grid_dijkstra,scene_metric_clearance,0.8571428571428612,4.994568938304912,37.194,1484.8604500000001,206.78552000000002,21277.29875,10585.0,10584.0,39.922042533742,5.319113630139607,4
grid_dijkstra,scene_metric_largest_component_ratio,0.9909206873264801,1.0,211.1579,126.4517,18728.69088,1366.3895899999998,10585.0,21168.0,0.5988490129898052,-0.7397357908197264,3
grid_dijkstra,scene_metric_obstacle_area_ratio,0.0559,0.4012,150.18795,154.78629999999998,1501.6434799999997,2362.6856799999996,10612.0,10582.0,1.0306173031857748,0.04350871942654882,4
grid_dijkstra,scene_metric_radii_cv,0.23147237120093828,0.3740707375764182,60.2059,580.03165,223.38342000000011,18392.183030000004,10585.0,10584.0,9.634133033473464,3.2681548455988905,4
rrt,scene_metric_boundary_density,0.01068583560703402,0.10549921966756452,28.4519,14.1314,206.48492,318.50141000000076,10585.0,10584.0,0.4966768475919007,-1.0096205972421592,4
rrt,scene_metric_cell_density_cv,0.6344700282628839,1.9075601227598735,105.185,6.2488,754.5387200000001,47.78309000000002,10585.0,10584.0,0.059407710224841946,-4.073206006538567,4
rrt,scene_metric_clearance,0.8571428571428612,4.994568938304912,9.9086,61.57125,175.48602,814.53696,10585.0,10584.0,6.213920230910523,2.635503721471265,4
rrt,scene_metric_largest_component_ratio,0.9909206873264801,1.0,88.4448,7.43205,750.9037200000004,60.262519999999995,10585.0,21168.0,0.0840303782698361,-3.5729452112131077,3
